,match_id,totalGold,level,xp,totalKills,totalDeaths,level_ups
1,3414943612,191439,373,180557,28,20,86
0,3414943617,174634,369,176169,28,26,86
1,3414943617,185730,370,178556,26,28,86
0,3414943618,107167,237,96526,16,24,68
1,3414943618,117749,244,102886,24,16,70
0,3414943626,120753,283,120967,20,20,76
1,3414943626,121419,259,108066,20,20,72
0,3414943642,280530,540,280312,28,28,96
1,3414943642,261600,502,246834,28,28,88
0,3414943656,129402,270,123844,28,18,82
1,3414943656,129638,293,129837,18,28,80
0,3414943661,202133,453,225620,14,24,92
1,3414943661,202192,460,238808,24,14,94
0,3414943669,230847,507,263137,24,30,96
1,3414943669,246174,495,254384,30,24,98
0,3414943670,193422,437,216438,12,18,88
1,3414943670,214531,453,222942,18,12,92
0,3414943673,134014,317,144164,14,2,80
1,3414943673,118934,309,136869,2,14,74
0,3414943683,183455,406,198015,12,10,88
1,3414943683,171731,407,198483,10,12,88
0,3414943684,223636,508,264683,14,16,96
1,3414943684,225809,519,270785,16,14,100
0,3414943690,78472,179,67314,18,2,64
1,3414943690,64732,173,64758,2,18,60
0,3414943704,260182,557,301141,36,38,100
1,3414943704,282233,584,316966,38,36,104
0,3414943709,185622,417,205086,14,10,92
1,3414943709,179341,416,207475,10,14,90
0,3414943712,91802,205,83567,18,6,68
1,3414943712,84626,202,78806,6,18,64
0,3414943716,260274,572,315245,16,20,104
1,3414943716,267729,554,297834,20,16,102
0,3414943718,91886,214,87419,20,10,70
1,3414943718,80634,206,80019,10,20,68
0,3414943728,166240,390,183663,6,24,86
1,3414943728,207346,426,214431,24,6,90
0,3414943733,240062,511,266044,14,16,96
1,3414943733,238971,502,261366,16,14,98
0,3414943737,66968,177,67407,8,10,64
1,3414943737,73844,170,61574,10,8,60
0,3414943744,47061,110,34366,10,2,52
1,3414943744,42259,110,34355,2,10,52
0,3414943745,92430,213,86272,14,12,70
1,3414943745,89714,206,82234,12,14,70
0,3414943756,392623,781,467804,28,32,118
1,3414943756,428439,790,472766,32,28,116
0,3414943764,288519,618,343528,22,30,102
1,3414943764,287186,613,334426,30,22,106
0,3414943772,131123,290,131207,16,12,80
1,3414943772,126118,287,125530,12,16,82
0,3414943787,307620,596,323176,22,30,104
1,3414943787,321114,604,327716,30,22,108
0,3414943802,235315,499,256483,30,14,94
1,3414943802,212475,489,247406,14,30,98
0,3414943806,83439,210,84865,8,8,68
1,3414943806,86952,214,87615,8,8,70
0,3414943811,180565,363,167771,28,16,84
1,3414943811,167859,367,170145,16,28,80
0,3414943819,151425,333,157214,20,16,84
1,3414943819,146044,323,145580,16,20,80
0,3414943841,108595,276,118081,4,8,74
1,3414943841,127203,294,129659,8,4,78
0,3414943842,95087,253,108851,8,8,74
1,3414943842,97010,255,110767,8,8,72
0,3414943870,189738,414,199562,22,18,88
1,3414943870,183966,409,198051,18,22,88
0,3414943871,227413,472,243294,26,10,100
