,match_id,teamId,win,firstBlood,firstTower,firstInhibitor,firstBaron,firstDragon,firstRiftHerald
0,{3414943494},1,Win,True,True,True,False,True,True
1,{3414943494},2,Fail,False,False,False,False,False,False
0,{3414943495},1,Win,True,False,True,True,False,True
1,{3414943495},2,Fail,False,True,False,False,True,False
0,{3414943498},1,Fail,False,False,False,False,False,False
1,{3414943498},2,Win,True,True,False,False,True,True
0,{3414943499},1,Win,True,True,True,False,True,True
1,{3414943499},2,Fail,False,False,False,False,False,False
0,{3414943503},1,Win,False,True,True,False,True,False
1,{3414943503},2,Fail,True,False,False,False,False,True
0,{3414943507},1,Win,False,False,True,False,True,True
1,{3414943507},2,Fail,True,True,False,False,False,False
0,{3414943508},1,Win,False,True,True,False,True,True
1,{3414943508},2,Fail,True,False,False,False,False,False
0,{3414943517},1,Win,False,True,False,False,False,True
1,{3414943517},2,Fail,True,False,False,False,True,False
0,{3414943540},1,Win,True,True,True,True,True,False
1,{3414943540},2,Fail,False,False,False,False,False,True
0,{3414943553},1,Win,False,False,False,False,True,True
1,{3414943553},2,Fail,True,True,True,True,False,False
0,{3414943564},1,Fail,True,True,False,False,True,False
1,{3414943564},2,Win,False,False,True,True,False,False
0,{3414943610},1,Win,True,True,True,True,True,True
1,{3414943610},2,Fail,False,False,False,False,False,False
0,{3414943612},1,Win,False,True,True,False,False,True
1,{3414943612},2,Fail,True,False,False,False,True,False
0,{3414943617},1,Win,False,False,True,True,True,True
1,{3414943617},2,Fail,True,True,False,False,False,False
0,{3414943618},1,Fail,True,True,False,False,False,True
1,{3414943618},2,Win,False,False,True,False,True,False
0,{3414943626},1,Fail,False,True,False,False,True,True
1,{3414943626},2,Win,True,False,True,True,False,False
0,{3414943642},1,Fail,True,True,False,False,False,False
1,{3414943642},2,Win,False,False,True,False,True,True
0,{3414943656},1,Win,False,False,True,False,True,True
1,{3414943656},2,Fail,True,True,False,False,False,False
0,{3414943661},1,Fail,False,False,False,True,False,False
1,{3414943661},2,Win,True,True,True,False,True,True
0,{3414943669},1,Win,False,False,False,False,True,True
1,{3414943669},2,Fail,True,True,False,False,False,False
0,{3414943670},1,Win,False,True,True,True,True,False
1,{3414943670},2,Fail,True,False,False,False,False,True
0,{3414943673},1,Win,False,True,True,False,True,True
1,{3414943673},2,Fail,True,False,False,False,False,False
0,{3414943683},1,Win,True,False,True,False,False,True
1,{3414943683},2,Fail,False,True,False,False,True,False
0,{3414943684},1,Win,True,True,True,False,True,False
1,{3414943684},2,Fail,False,False,False,False,False,True
0,{3414943690},1,Win,True,True,True,False,True,True
1,{3414943690},2,Fail,False,False,False,False,False,False
0,{3414943704},1,Win,True,False,False,False,False,True
1,{3414943704},2,Fail,False,True,True,True,True,False
0,{3414943709},1,Fail,True,False,False,False,True,False
1,{3414943709},2,Win,False,True,True,True,False,True
0,{3414943712},1,Win,False,True,True,False,True,True
1,{3414943712},2,Fail,True,False,False,False,False,False
0,{3414943716},1,Fail,True,False,False,True,False,False
1,{3414943716},2,Win,False,True,True,False,True,True
0,{3414943718},1,Win,True,True,True,False,False,True
1,{3414943718},2,Fail,False,False,False,False,True,False
0,{3414943728},1,Fail,True,False,False,False,True,False
1,{3414943728},2,Win,False,True,True,True,False,True
0,{3414943733},1,Fail,True,False,True,False,False,False
1,{3414943733},2,Win,False,True,False,True,True,True
0,{3414943737},1,Win,False,True,True,False,True,True
1,{3414943737},2,Fail,True,False,False,False,False,False
0,{3414943744},1,Win,True,True,False,False,True,True
1,{3414943744},2,Fail,False,False,False,False,False,False
0,{3414943745},1,Fail,False,False,False,False,True,True
1,{3414943745},2,Win,True,True,False,False,False,False
0,{3414943756},1,Fail,False,False,False,False,True,False
1,{3414943756},2,Win,True,True,True,True,False,True
0,{3414943764},1,Fail,False,True,False,False,False,True
1,{3414943764},2,Win,True,False,True,True,True,False
0,{3414943772},1,Fail,True,False,False,True,False,False
1,{3414943772},2,Win,False,True,True,False,True,True
0,{3414943787},1,Win,False,True,True,True,False,False
1,{3414943787},2,Fail,True,False,False,False,True,True
0,{3414943802},1,Win,False,True,True,False,True,True
1,{3414943802},2,Fail,True,False,False,False,False,False
0,{3414943806},1,Fail,False,True,False,False,True,True
1,{3414943806},2,Win,True,False,False,True,False,False
0,{3414943811},1,Fail,True,True,False,False,False,False
1,{3414943811},2,Win,False,False,True,True,True,True
0,{3414943819},1,Fail,False,False,False,False,False,False
1,{3414943819},2,Win,True,True,False,False,True,True
0,{3414943829},1,Win,True,True,True,False,False,True
1,{3414943829},2,Fail,False,False,False,False,True,False
0,{3414943841},1,Fail,True,False,False,False,False,False
1,{3414943841},2,Win,False,True,True,True,True,True
0,{3414943842},1,Win,True,True,False,False,False,False
1,{3414943842},2,Fail,False,False,False,False,True,True
0,{3414943870},1,Win,True,False,True,False,False,True
1,{3414943870},2,Fail,False,True,False,True,True,False
0,{3414943871},1,Win,False,True,True,True,True,True
1,{3414943871},2,Fail,True,False,False,False,False,False
0,{3414943891},1,Win,False,True,False,False,False,False
1,{3414943891},2,Fail,True,False,False,False,True,True
